text,label
"SELECTED! FastTrack Careers wants you as Data Entry Executive. Salary Rs. 14,000/month. To receive your offer letter, pay Rs. 1145 screening fee. No interview needed. Respond within 12 hours. Pay and confirm at globalwork.recruit@gmail.com. Whatsapp only.",1
"Dear Sneha Iyer, On behalf of Tech Mahindra, I am delighted to extend this offer of employment for the role of Operations Manager. Your compensation will be INR 27,00,000 per annum as per our salary structure, subject to payroll deductions. Your reporting manager will be Rajesh Pillai and your joining date is 5 September 2026. Please sign and return this letter by 24 July 2026. Human resources contact: careers@cognizant.com. Regards, Talent Acquisition, Tech Mahindra.",0
"URGENT HIRING - EasyJob Network requires Office Assistant immediately. Selected candidates earn Rs. 10,000/month. Pay registration amount Rs. 3612 to confirm your seat. Limited time offer. Kindly pay and confirm within 24 hours. Contact hiringdesk@hotmail.com or telegram +91 9491735568.",1
"Congratulations! WorkFromHome Inc is pleased to offer you Typist with salary Rs. 11,000 per month. As per company policy, all new hires must pay a laptop fee of Rs. 1069 before joining. Pay before 12 hours or offer will be cancelled. Contact hiringdesk@hotmail.com.",1
"Dear Aditi Sharma, On behalf of the leadership team at Capgemini India, I am pleased to confirm your appointment as QA Engineer at our Bengaluru office. Your compensation will be INR 18,00,000 per annum. Joining date: 3 October 2026. You will report to Sunita Rao. Subject to company policy and payroll deductions. Confirm by 30 June 2026 via recruitment@ibm.com. Best regards, Suresh Kumar, Hiring Team, Capgemini India.",0
"Dear Pooja Agarwal, On behalf of Cognizant Technology, I am delighted to extend this offer of employment for the role of Cloud Architect. Your compensation will be INR 27,00,000 per annum as per our salary structure, subject to payroll deductions. Your reporting manager will be Kavitha Menon and your joining date is 1 September 2026. Please sign and return this letter by 20 July 2026. Human resources contact: recruitment@accenture.com. Regards, Talent Acquisition, Cognizant Technology.",0
"Dear Kiran Patel, Infosys Limited is happy to confirm your selection as Finance Analyst at our Gurugram office. The annual compensation package is INR 9,00,000, subject to company policy and payroll deductions. Your employment is contingent upon successful completion of background checks. Joining date: 22 July 2026. Confirm acceptance by 15 September 2026. Contact: talent@cognizant.com. Best regards, Recruitment Team, Infosys Limited.",0
"Dear Aditi Sharma, Tata Consultancy Services is happy to confirm your selection as DevOps Engineer at our Bengaluru office. The annual compensation package is INR 13,00,000, subject to company policy and payroll deductions. Your employment is contingent upon successful completion of background checks. Joining date: 22 July 2026. Confirm acceptance by 25 August 2026. Contact: recruitment@cognizant.com. Best regards, Recruitment Team, Tata Consultancy Services.",0
"Dear Candidate, You have been selected for Data Entry Executive at FastTrack Careers through our recruitment drive. Salary: Rs. 21,000 CTC per annum. Please transfer the advance fee of Rs. 2666 to confirm your appointment letter. Contact us at fasthire@gmail.com. This offer is valid today itself only.",1
"URGENT HIRING - EasyJob Network requires Home Based Computer Operator immediately. Selected candidates earn Rs. 25,000/month. Pay registration amount Rs. 1337 to confirm your seat. Limited time offer. Kindly pay and confirm within 48 hours. Contact globalwork.recruit@gmail.com or telegram +91 9782560971.",1
"Dear Kiran Patel, Wipro Technologies is happy to confirm your selection as Data Scientist at our Gurugram office. The annual compensation package is INR 35,00,000, subject to company policy and payroll deductions. Your employment is contingent upon successful completion of background checks. Joining date: 5 September 2026. Confirm acceptance by 24 July 2026. Contact: talent@accenture.com. Best regards, Recruitment Team, Wipro Technologies.",0
"Dear Pooja Agarwal, On behalf of Accenture India, I am delighted to extend this offer of employment for the role of Data Analyst. Your compensation will be INR 11,00,000 per annum as per our salary structure, subject to payroll deductions. Your reporting manager will be Rajesh Pillai and your joining date is 5 September 2026. Please sign and return this letter by 10 August 2026. Human resources contact: recruitment@hcltech.com. Regards, Talent Acquisition, Accenture India.",0
"Dear Priya Singh, On behalf of Hexaware Technologies, I am delighted to extend this offer of employment for the role of Product Manager. Your compensation will be INR 13,00,000 per annum as per our salary structure, subject to payroll deductions. Your reporting manager will be Rajesh Pillai and your joining date is 12 August 2026. Please sign and return this letter by 25 August 2026. Human resources contact: hr@wipro.com. Regards, Talent Acquisition, Hexaware Technologies.",0
"Dear Ankit Joshi, On behalf of the leadership team at Mindtree Ltd, I am pleased to confirm your appointment as Frontend Developer at our Chennai office. Your compensation will be INR 29,00,000 per annum. Joining date: 12 August 2026. You will report to Vikram Shah. Subject to company policy and payroll deductions. Confirm by 30 June 2026 via talent@wipro.com. Best regards, Deepa Iyer, Hiring Team, Mindtree Ltd.",0
"Dear Candidate, You have been selected for Home Based Computer Operator at WorkFromHome Inc through our recruitment drive. Salary: Rs. 9,000 CTC per annum. Please transfer the advance fee of Rs. 1292 to confirm your appointment letter. Contact us at opportunityhub.hr@gmail.com. This offer is valid today itself only.",1
"Dear Applicant, We are glad to inform you that you have been selected without interview for Online Data Entry Specialist at EasyJob Network. Guaranteed job with salary 11,000 per month. Please pay a security deposit of Rs. 875 before joining. This offer expires in 12 hours. Respond today at hiringdesk@hotmail.com.",1
"Dear Pooja Agarwal, Mphasis Limited is happy to confirm your selection as UX Designer at our Mumbai office. The annual compensation package is INR 12,00,000, subject to company policy and payroll deductions. Your employment is contingent upon successful completion of background checks. Joining date: 18 August 2026. Confirm acceptance by 5 August 2026. Contact: recruitment@cognizant.com. Best regards, Recruitment Team, Mphasis Limited.",0
"Dear Aditi Sharma, Following your interview on the date mentioned above, we are glad to offer you the role of Data Scientist at Tata Consultancy Services with an annual CTC of INR 32,00,000. Your tentative joining date is 5 September 2026. This offer of employment is subject to company policy. Please confirm your acceptance by signing and returning this letter by 5 August 2026. For any questions please contact recruitment@ibm.com. Sincerely, Ravi Krishnan, HR Department, Tata Consultancy Services.",0
"Dear Sneha Iyer, It is with great pleasure that we offer you the position of DevOps Engineer at Mindtree Ltd, Bengaluru. Your annual CTC will be INR 19,00,000 per annum. Your reporting manager will be Kavitha Menon. We request you to please review the offer carefully and report for joining on 18 August 2026. Please confirm your acceptance of this offer by 15 September 2026. Should you have any questions, please do not hesitate to contact us at hr@wipro.com. Best regards, Pooja Nair, Talent Acquisition Team, Mindtree Ltd.",0
"Dear Swati Mishra, On behalf of HCL Technologies, I am delighted to extend this offer of employment for the role of UX Designer. Your compensation will be INR 30,00,000 per annum as per our salary structure, subject to payroll deductions. Your reporting manager will be Kavitha Menon and your joining date is 10 October 2026. Please sign and return this letter by 20 July 2026. Human resources contact: recruitment@hexaware.com. Regards, Talent Acquisition, HCL Technologies.",0
"Congratulations! CareerBoost India is pleased to offer you Form Filling Executive with salary Rs. 15,000 per month. As per company policy, all new hires must pay a laptop fee of Rs. 3612 before joining. Pay before 24 hours or offer will be cancelled. Contact globalwork.recruit@gmail.com.",1
"Congratulations! You are selected for Online Data Entry Specialist position at GlobalWork Services. No interview required. Start immediately. Please pay training fee of Rs. 1259 to confirm. Salary Rs. 11,000/month guaranteed. Respond within 4 hours at workfromhome.jobs@yahoo.com.",1
"Dear Candidate, You have been selected for Typist at TechGrow Solutions through our recruitment drive. Salary: Rs. 25,000 CTC per annum. Please transfer the advance fee of Rs. 855 to confirm your appointment letter. Contact us at workfromhome.jobs@yahoo.com. This offer is valid today itself only.",1
"Dear Arjun Bose, Cognizant Technology is happy to confirm your selection as Software Engineer at our Chennai office. The annual compensation package is INR 18,00,000, subject to company policy and payroll deductions. Your employment is contingent upon successful completion of background checks. Joining date: 15 July 2026. Confirm acceptance by 30 June 2026. Contact: talent@mindtree.com. Best regards, Recruitment Team, Cognizant Technology.",0
"Dear Varun Mehta, Persistent Systems is happy to confirm your selection as Business Analyst at our Pune office. The annual compensation package is INR 10,00,000, subject to company policy and payroll deductions. Your employment is contingent upon successful completion of background checks. Joining date: 15 July 2026. Confirm acceptance by 5 August 2026. Contact: careers@wipro.com. Best regards, Recruitment Team, Persistent Systems.",0
"Dear Rohit Gupta, It is with great pleasure that we offer you the position of Frontend Developer at NexaSoft Technologies, Noida. Your annual CTC will be INR 30,00,000 per annum. Your reporting manager will be Manoj Tiwari. We request you to please review the offer carefully and report for joining on 3 October 2026. Please confirm your acceptance of this offer by 10 August 2026. Should you have any questions, please do not hesitate to contact us at careers@nexasofttech.com. Best regards, Deepa Iyer, Talent Acquisition Team, NexaSoft Technologies.",0
"Dear Candidate, Instant joining opportunity! RapidHire Solutions is hiring for Home Based Computer Operator. Salary: Rs. 25,000 per month. To activate your offer, transfer the amount of Rs. 3612 as onboarding fee. Act now - limited positions available. WhatsApp only: +91 9185675980. Contact techgrow.jobs@yahoo.com immediately.",1
"Dear Applicant, We are glad to inform you that you have been selected without interview for Form Filling Executive at EasyJob Network. Guaranteed job with salary 14,000 per month. Please pay a security deposit of Rs. 2870 before joining. This offer expires in 2 hours. Respond today at techgrow.jobs@yahoo.com.",1
"Dear Applicant, We are glad to inform you that you have been selected without interview for Online Data Entry Specialist at HomeWork Pvt Ltd. Guaranteed job with salary 15,000 per month. Please pay a security deposit of Rs. 875 before joining. This offer expires in 48 hours. Respond today at hiringdesk@hotmail.com.",1
"Congratulations! GlobalWork Services is pleased to offer you Content Writer with salary Rs. 10,000 per month. As per company policy, all new hires must pay a laptop fee of Rs. 1069 before joining. Pay before 24 hours or offer will be cancelled. Contact opportunityhub.hr@gmail.com.",1
"Dear Sneha Iyer, We are pleased to inform you that you have been selected for the position of Data Analyst at Tata Consultancy Services. Your annual salary will be INR 10,00,000 as per the offer letter enclosed herewith. Reporting manager: Vikram Shah. Date of joining: 15 July 2026. Kindly acknowledge by 20 July 2026. HR contact: talent@mphasis.com. Regards, Deepa Iyer, Human Resources, Tata Consultancy Services.",0
"Dear Applicant, We are glad to inform you that you have been selected without interview for Work From Home Operator at QuickHire India. Guaranteed job with salary 25,000 per month. Please pay a security deposit of Rs. 3612 before joining. This offer expires in 48 hours. Respond today at globalwork.recruit@gmail.com.",1
"Dear Ankit Joshi, On behalf of Zensar Technologies, I am delighted to extend this offer of employment for the role of DevOps Engineer. Your compensation will be INR 19,00,000 per annum as per our salary structure, subject to payroll deductions. Your reporting manager will be Vikram Shah and your joining date is 5 September 2026. Please sign and return this letter by 20 July 2026. Human resources contact: hr@hcltech.com. Regards, Talent Acquisition, Zensar Technologies.",0
"Dear Ankit Joshi, We are pleased to inform you that you have been selected for the position of QA Engineer at Accenture India. Your annual salary will be INR 18,00,000 as per the offer letter enclosed herewith. Reporting manager: Sunita Rao. Date of joining: 3 October 2026. Kindly acknowledge by 25 August 2026. HR contact: talent@capgemini.com. Regards, Deepa Iyer, Human Resources, Accenture India.",0
"Dear Applicant, Your resume was shortlisted for Form Filling Executive at RapidHire Solutions. Salary package Rs. 8,000 per annum. Kindly deposit Rs. 4263 as refundable security deposit to our account. Offer valid for next 24 hours only. Pay immediately to quickhire.hr@gmail.com.",1
"Dear Applicant, Your resume was shortlisted for Typist at OpportunityHub. Salary package Rs. 25,000 per annum. Kindly deposit Rs. 2075 as refundable security deposit to our account. Offer valid for next 48 hours only. Pay immediately to workfromhome.jobs@yahoo.com.",1
"Dear Meera Nair, This is to formally offer you the position of Cloud Architect at Hexaware Technologies, Hyderabad, effective 1 September 2026. Total annual compensation: INR 10,00,000 subject to standard deductions. Benefits include health insurance, PF, and gratuity as per company policy. Please review and sign the enclosed documents by 25 August 2026. For queries: talent@wipro.com. Warm regards, Anjali Singh, Talent Acquisition, Hexaware Technologies.",0
"Dear Riya Dubey, This letter confirms the offer of employment extended to you by Persistent Systems for the position of Frontend Developer at Hyderabad. Annual gross salary: INR 30,00,000, inclusive of all components. Employment is contingent upon successful background verification and document submission. Joining date: 5 September 2026. Please respond by 25 August 2026. HR contact: recruitment@ibm.com. Sincerely, Suresh Kumar, Human Resources, Persistent Systems.",0
"Dear Kiran Patel, Following your interview on the date mentioned above, we are glad to offer you the role of Marketing Manager at Cognizant Technology with an annual CTC of INR 29,00,000. Your tentative joining date is 18 August 2026. This offer of employment is subject to company policy. Please confirm your acceptance by signing and returning this letter by 20 July 2026. For any questions please contact hr@accenture.com. Sincerely, Nisha Patel, HR Department, Cognizant Technology.",0
"Dear Applicant, Your resume was shortlisted for Content Writer at TechGrow Solutions. Salary package Rs. 15,000 per annum. Kindly deposit Rs. 3612 as refundable security deposit to our account. Offer valid for next 48 hours only. Pay immediately to hiringdesk@hotmail.com.",1
"Dear Meera Nair, Following your interview on the date mentioned above, we are glad to offer you the role of Senior Developer at Mindtree Ltd with an annual CTC of INR 30,00,000. Your tentative joining date is 5 September 2026. This offer of employment is subject to company policy. Please confirm your acceptance by signing and returning this letter by 5 August 2026. For any questions please contact talent@ibm.com. Sincerely, Priya Sharma, HR Department, Mindtree Ltd.",0
"Dear Candidate, You have been selected for Form Filling Executive at EasyJob Network through our recruitment drive. Salary: Rs. 15,000 CTC per annum. Please transfer the advance fee of Rs. 3600 to confirm your appointment letter. Contact us at quickhire.hr@gmail.com. This offer is valid today itself only.",1
"SELECTED! OpportunityHub wants you as Home Based Computer Operator. Salary Rs. 11,000/month. To receive your offer letter, pay Rs. 1069 screening fee. No interview needed. Respond within 4 hours. Pay and confirm at techgrow.jobs@yahoo.com. Whatsapp only.",1
"Dear Aditi Sharma, We are pleased to inform you that you have been selected for the position of Senior Developer at NexaSoft Technologies. Your annual salary will be INR 19,00,000 as per the offer letter enclosed herewith. Reporting manager: Rajesh Pillai. Date of joining: 1 September 2026. Kindly acknowledge by 25 August 2026. HR contact: talent@accenture.com. Regards, Anil Gupta, Human Resources, NexaSoft Technologies.",0
"SELECTED! EasyJob Network wants you as Office Assistant. Salary Rs. 24,000/month. To receive your offer letter, pay Rs. 1145 screening fee. No interview needed. Respond within 48 hours. Pay and confirm at workfromhome.jobs@yahoo.com. Whatsapp only.",1
"Dear Riya Dubey, Following your successful interview process, we are pleased to offer you the position of Frontend Developer at Capgemini India, Noida with a CTC of INR 10,00,000 per annum. This offer is contingent upon satisfactory background verification. Joining date: 12 August 2026. Please confirm by 5 August 2026. For any questions, reach our HR at recruitment@nexasofttech.com. Sincerely, Arjun Verma, HR Manager, Capgemini India.",0
"Dear Nikhil Kumar, It is with great pleasure that we offer you the position of Finance Analyst at Tata Consultancy Services, Mumbai. Your annual CTC will be INR 18,00,000 per annum. Your reporting manager will be Rajesh Pillai. We request you to please review the offer carefully and report for joining on 12 August 2026. Please confirm your acceptance of this offer by 30 June 2026. Should you have any questions, please do not hesitate to contact us at talent@capgemini.com. Best regards, Anjali Singh, Talent Acquisition Team, Tata Consultancy Services.",0
"Dear Rohit Gupta, On behalf of the leadership team at Persistent Systems, I am pleased to confirm your appointment as Finance Analyst at our Mumbai office. Your compensation will be INR 5,00,000 per annum. Joining date: 22 July 2026. You will report to Rajesh Pillai. Subject to company policy and payroll deductions. Confirm by 25 August 2026 via recruitment@hexaware.com. Best regards, Pooja Nair, Hiring Team, Persistent Systems.",0
"Dear Rohit Gupta, Mphasis Limited is happy to confirm your selection as Business Analyst at our Bengaluru office. The annual compensation package is INR 12,00,000, subject to company policy and payroll deductions. Your employment is contingent upon successful completion of background checks. Joining date: 5 September 2026. Confirm acceptance by 10 August 2026. Contact: talent@wipro.com. Best regards, Recruitment Team, Mphasis Limited.",0
"Dear Meera Nair, It is with great pleasure that we offer you the position of Marketing Manager at Hexaware Technologies, Delhi. Your annual CTC will be INR 11,00,000 per annum. Your reporting manager will be Rajesh Pillai. We request you to please review the offer carefully and report for joining on 22 July 2026. Please confirm your acceptance of this offer by 5 August 2026. Should you have any questions, please do not hesitate to contact us at hr@wipro.com. Best regards, Pooja Nair, Talent Acquisition Team, Hexaware Technologies.",0
"SELECTED! OpportunityHub wants you as Form Filling Executive. Salary Rs. 9,000/month. To receive your offer letter, pay Rs. 4263 screening fee. No interview needed. Respond within 4 hours. Pay and confirm at fasthire@gmail.com. Whatsapp only.",1
"Dear Deepika Rao, On behalf of the leadership team at NexaSoft Technologies, I am pleased to confirm your appointment as Operations Manager at our Gurugram office. Your compensation will be INR 35,00,000 per annum. Joining date: 22 July 2026. You will report to Sunita Rao. Subject to company policy and payroll deductions. Confirm by 15 September 2026 via talent@hcltech.com. Best regards, Arjun Verma, Hiring Team, NexaSoft Technologies.",0
"Congratulations! You are selected for Work From Home Operator position at RapidHire Solutions. No interview required. Start immediately. Please pay training fee of Rs. 4263 to confirm. Salary Rs. 10,000/month guaranteed. Respond within 48 hours at globalwork.recruit@gmail.com.",1
"Congratulations! You are selected for Typist position at CareerBoost India. No interview required. Start immediately. Please pay training fee of Rs. 1145 to confirm. Salary Rs. 25,000/month guaranteed. Respond within 6 hours at quickhire.hr@gmail.com.",1
"Dear Candidate, Instant joining opportunity! DigiWork India is hiring for Back Office Associate. Salary: Rs. 8,000 per month. To activate your offer, transfer the amount of Rs. 2075 as onboarding fee. Act now - limited positions available. WhatsApp only: +91 9995619255. Contact globalwork.recruit@gmail.com immediately.",1
"Dear Nikhil Kumar, Following your interview on the date mentioned above, we are glad to offer you the role of Software Engineer at NexaSoft Technologies with an annual CTC of INR 27,00,000. Your tentative joining date is 3 October 2026. This offer of employment is subject to company policy. Please confirm your acceptance by signing and returning this letter by 20 July 2026. For any questions please contact recruitment@nexasofttech.com. Sincerely, Rahul Mehta, HR Department, NexaSoft Technologies.",0
"Dear Applicant, We are glad to inform you that you have been selected without interview for Work From Home Operator at EasyJob Network. Guaranteed job with salary 12,000 per month. Please pay a security deposit of Rs. 875 before joining. This offer expires in 2 hours. Respond today at hiringdesk@hotmail.com.",1
"Dear Meera Nair, We are pleased to inform you that you have been selected for the position of HR Executive at Zensar Technologies. Your annual salary will be INR 15,00,000 as per the offer letter enclosed herewith. Reporting manager: Manoj Tiwari. Date of joining: 1 September 2026. Kindly acknowledge by 10 August 2026. HR contact: careers@wipro.com. Regards, Ravi Krishnan, Human Resources, Zensar Technologies.",0
"URGENT HIRING - CareerBoost India requires Work From Home Operator immediately. Selected candidates earn Rs. 25,000/month. Pay registration amount Rs. 1292 to confirm your seat. Limited time offer. Kindly pay and confirm within 4 hours. Contact easyjob.india@yahoo.com or telegram +91 9349957310.",1
"Dear Ankit Joshi, Following your interview on the date mentioned above, we are glad to offer you the role of Business Analyst at NexaSoft Technologies with an annual CTC of INR 11,00,000. Your tentative joining date is 15 July 2026. This offer of employment is subject to company policy. Please confirm your acceptance by signing and returning this letter by 24 July 2026. For any questions please contact hr@accenture.com. Sincerely, Ravi Krishnan, HR Department, NexaSoft Technologies.",0
